P_Well  Chemical_Name	Therapeutic_Class	Therapeutic_Effect
P2_K13	Clofazimine	Infectiology	Antibacterial
P2_K15	Nafronyl oxalate	Cardiovascular	Anti-ischemic
P2_K17	Bezafibrate	Metabolism	Antilipemic
P2_K19	Nefazodone HCl	Central Nervous System	Antidepressant
P2_K21	Clebopride maleate	Central Nervous System	Antiemetic
P2_K23	Toltrazuril	Infectiology	Anticoccidial
P2_M1	Rifabutin	Infectiology	Antibacterial
P2_M3	Lidoflazine	Cardiovascular	Antianginal
P2_M5	Betaxolol hydrochloride	Cardiovascular	Antiglaucoma
P2_M7	Nicardipine hydrochloride	Cardiovascular	Antianginal
P2_M9	Probucol	Metabolism	Antilipemic
P2_M11	Mitoxantrone dihydrochloride	Oncology	Antineoplastic
P2_M13	GBR 12909 dihydrochloride	Central Nervous System	Antidepressant
P2_M15	Carbetapentane citrate	Central Nervous System	Antispastic
P2_M17	Dequalinium dichloride	Infectiology	Antibacterial
P2_M19	Ketoconazole	Infectiology	Antifungal
P2_M21	Fusidic acid sodium salt	Infectiology	Antibacterial
P2_M23	Parbendazole	Infectiology	Antihelmintic
P2_O1	Clocortolone pivalate	Endocrinology	Anti-inflammatory
P2_O3	Terbutaline hemisulfate	Respiratory	Antiasthmatic
P2_O5	Ketanserin tartrate hydrate	Cardiovascular	Antihypertensive
P2_O7	Hemicholinium bromide	Neuromuscular	Curarizing
P2_O9	Kanamycin A sulfate	Infectiology	Antibacterial
P2_O11	Amikacin hydrate	Infectiology	Antibacterial
P2_O13	Etoposide	Oncology	Antineoplastic
P2_O15	Clomiphene citrate (Z,E)	Endocrinology	Ovulation stimulant
P2_O17	Oxantel pamoate	Infectiology	Antihelmintic
P2_O19	Prochlorperazine dimaleate	Central Nervous System	Antiemetic
P2_O21	Hesperidin 	Oncology	Anti-haemorrhoids
P2_O23	Nadifloxacin	Infectiology	Antibacterial
P2_A2	Buspirone hydrochloride	Central Nervous System	Antianxiety agent
P2_A4	Testosterone propionate	Endocrinology	Anabolic
P2_A6	Haloprogin	Central Nervous System	Anesthetic
P2_A8	Thyroxine (L)	Endocrinology	Antihypothyroid
P2_A10	Idebenone	Oncology	Antineoplastic
P2_A12	Pepstatin A	Infectiology	Antiviral
P2_A14	Morpholinoethylamino-3-benzocyclohepta-(5,6-c)-pyridazine dihydrochloride	Central Nervous System	Antidepressant, Muscarinic agonist
P2_A16	Adamantamine fumarate	Infectiology	Antiviral
P2_A18	Butoconazole nitrate	Infectiology	Antibacterial
P2_A20	Amiodarone hydrochloride	Cardiovascular	Antianginal
P2_A22	Amphotericin B	Infectiology	Antibacterial
P2_A24	Anastrozole	Oncology	Antineoplastic
P2_C2	Acetylcysteine	Metabolism	Mucolytic
P2_C4	Androsterone	Endocrinology	Anabolic
P2_C6	Amifostine	Diagnostic	Detoxifying agent, antineoplastic treatment
P2_C8	Carbarsone	Infectiology	Antiamebic
P2_C10	Amlodipine	Cardiovascular	Antihypertensive
P2_C12	Modafinil	Central Nervous System	CNS Stimulant
P2_C14	Bacampicillin hydrochloride	Infectiology	Antibacterial
P2_C16	Lamivudine	Infectiology	Antiviral
P2_C18	Biotin	Metabolism	Vitamin B7
P2_C20	Bisacodyl	Gastroenterology	Laxative
P2_C22	Erlotinib	Oncology	Antineoplastic
P2_C24	Melengestrol acetate	Endocrinology	Antiviral
P2_E2	Famciclovir	Infectiology	Antiplatelet
P2_E4	Suloctidil	Neuromuscular	Vasodilator
P2_E6	Zotepine	Central Nervous System	Analgesic
P2_E8	Carisoprodol	Central Nervous System	Antipyretic
P2_E10	Cephalosporanic acid, 7-amino	Infectiology	Antibiotic
P2_E12	Chicago sky blue 6B	Central Nervous System	Vasodilator
P2_E14	Buflomedil hydrochloride	Cardiovascular	Antidepressant
P2_E16	Dibenzepine hydrochloride	Central Nervous System	Antiulcer
P2_E18	Roxatidine Acetate HCl	Gastroenterology	Antiviral
P2_E20	Valacyclovir hydrochloride	Infectiology	Antiviral, mimics nucleoside
P2_E22	Cisapride	Gastroenterology	Antineoplastic
P2_E24	Dopamine hydrochloride	Cardiovascular	Antihypertensive
P2_G2	5-fluorouracil	Oncology	Antibacterial
P2_G4	Pefloxacine	Infectiology	Antibacterial
P2_G6	Corticosterone	Endocrinology	Immunosuppressant
P2_G8	Cyanocobalamin	Metabolism	Antibacterial
P2_G10	Cefadroxil	Infectiology	Antibacterial
P2_G12	Cyclosporin A	Immunology	Cardiotonic
P2_G14	Digitoxigenin	Cardiovascular	Cardiotonic
P2_G16	Digoxin	Cardiovascular	Antibacterial
P2_G18	Doxorubicin hydrochloride	Infectiology	Antineoplastic
P2_G20	Carbimazole	Metabolism	Anabolic
P2_G22	Epiandrosterone	Endocrinology	Antilipemic
P2_G24	Mesna	Oncology	Chemoprotectant
P2_I2	Clofibrate	Metabolism	Antigonadotropin
P2_I4	Estradiol-17 beta	Endocrinology	Antitussive
P2_I6	Clobutinol hydrochloride	Central Nervous System	CNS Stimulant
P2_I8	Gabazine bromide	Central Nervous System	Anticonvulsant
P2_I10	Oxcarbazepine	Central Nervous System	Muscle relaxant
P2_I12	Cyclobenzaprine hydrochloride	Neuromuscular	Antiglaucoma
P2_I14	Carteolol hydrochloride	Cardiovascular	Antihypertensive
P2_I16	Hydrocortisone base	Endocrinology	Anti-Alzheimer
P2_I18	Hydroxytacrine maleate (R,S)	Central Nervous System	Antiglaucoma
P2_I20	Pilocarpine nitrate	Ophthalmology	Antibacterial
P2_I22	Dicloxacillin sodium salt hydrate	Infectiology	Antineoplastic
P2_I24	Cyclophosphamide	Immunology	Antineoplastic
P2_K2	Topotecan	Oncology	Antiemetic
P2_K4	Alizapride HCl	Central Nervous System	Antiemetic
P2_K6	Stanozolol	Endocrinology	Antipsoriatic
P2_K8	Calcipotriene	Dermatology	Topical antipsoriatic
P2_K10	Linezolid	Infectiology	Antibacterial
P2_K12	Mebhydroline 1,5-naphtalenedisulfonate	Allergology	Antibacterial
P2_K14	Meclocycline sulfosalicylate	Infectiology	Topical antibiotic
P2_K16	Meclozine dihydrochloride	Allergology	Antihistaminic
P2_K18	Melatonin	Central Nervous System	Anti-oxidant
P2_K20	Butalbital	Central Nervous System	Sedative
P2_K22	Dinoprost trometamol	Endocrinology	Antibacterial
P2_K24	Atorvastatin	Metabolism	Cardiovascular, HMG CoA inhibitor
P2_M2	Gatifloxacin	Infectiology	Antiemetic
P2_M4	Tropisetron HCl	Central Nervous System	Antibacterial
P2_M6	Cefixime	Infectiology	Antibacterial
P2_M8	Metrizamide	Diagnostic	Antipsychotic
P2_M10	Quetiapine hemifumarate	Central Nervous System	Antibacterial
P2_M12	Tosufloxacin hydrochloride	Infectiology	Antibacterial
P2_M14	Efavirenz	Infectiology	Antiviral
P2_M16	Rifapentine	Infectiology	Tuberculosis antibacterial
P2_M18	Neostigmine bromide	Diagnostic	Antihelmintic
P2_M20	Niridazole	Infectiology	Antiparasitic
P2_M22	Ceforanide	Infectiology	Antineoplastic
P2_M24	Bosentan	Cardiovascular	Vasodilator
P2_O2	Imatinib	Oncology	Antineoplastic
P2_O4	Vatalanib	Oncology	Angiogenesis inhibitor
P2_O6	Itopride	Metabolism	Antibacterial
P2_O8	Cefotetan	Infectiology	Antibacterial
P2_O10	Fentiazac	Metabolism	Antihistaminic
P2_O12	Brompheniramine maleate	Allergology	Antipruritic
P2_O14	Primaquine diphosphate	Infectiology	Progestogen
P2_O16	Progesterone	Endocrinology	Antianginal
P2_O18	Felodipine	Neuromuscular	Antihypertensive
P2_O20	Raclopride	Central Nervous System	Antihelmintic
P2_O22	Closantel	Infectiology	Antihelmintic
P2_O24	Moxifloxacin	Infectiology	Antibacterial
P2_B1	Doxycycline hydrochloride	Metabolism	Antibacterial
P2_B3	Serotonin hydrochloride	Central Nervous System	CNS Stimulant
P2_B5	Cefotiam hydrochloride	Infectiology	Antibacterial
P2_B7	Rofecoxib	Metabolism	Anti-inflammatory
P2_B9	Benperidol	Central Nervous System	Antipsychotic
P2_B11	Cefaclor hydrate	Infectiology	Antibacterial
P2_B13	Colistin sulfate	Infectiology	Antibacterial
P2_B15	Daunorubicin hydrochloride	Infectiology	Antibacterial
P2_B17	Dosulepin hydrochloride	Central Nervous System	Antidepressant
P2_B19	Ceftazidime pentahydrate	Infectiology	Antibacterial
P2_B21	Iobenguane sulfate	Oncology	Antineoplastic
P2_B23	Sulbactam	Infectiology	Antibacterial
P2_D1	Bromhexine hydrochloride	Respiratory	Expectorant
P2_D3	Metixene hydrochloride	Central Nervous System	Antiparkinsonian
P2_D5	Nitrofural	Infectiology	Antibacterial
P2_D7	Omeprazole	Gastroenterology	Antiulcer
P2_D9	Propylthiouracil	Metabolism	Antihyperthyroid
P2_D11	Terconazole	Infectiology	Antifungal
P2_D13	Tiaprofenic acid	Central Nervous System	Analgesic
P2_D15	Vancomycin hydrochloride	Infectiology	Antibacterial
P2_D17	Artemisinin	Infectiology	Antimalarial
P2_D19	Propafenone hydrochloride	Cardiovascular	Antiarrhythmic
P2_D21	Ethamivan	Central Nervous System	Analeptic
P2_D23	Anethole-trithione	Metabolism	Choleretic
P2_F1	Cefdinir	Infectiology	Antibacterial
P2_F3	Vigabatrin	Central Nervous System	Anticonvulsant
P2_F5	Biperiden hydrochloride	Central Nervous System	Antiparkinsonian
P2_F7	Cetirizine dihydrochloride	Allergology	Antihistaminic
P2_F9	Etifenin	Diagnostic	Chemosensitizer
P2_F11	Metaproterenol sulfate, orciprenaline sulfate	Respiratory	Bronchodilator
P2_F13	Sisomicin sulfate	Infectiology	Antibacterial
P2_F15	Sibutramine HCl	Central Nervous System	Oral anorexiant
P2_F17	Acenocoumarol	Hematology	Anticoagulant
P2_F19	Bromperidol	Central Nervous System	Antipsychotic
P2_F21	Cyclizine hydrochloride	Allergology	Antiemetic
P2_F23	Carprofen	Metabolism	Anti-inflammatory
P2_H1	Mitotane	Endocrinology	Antineoplastic
P2_H3	Fluoxetine hydrochloride	Central Nervous System	Antidepressant
P2_H5	Iohexol	Diagnostic	Contrastant
P2_H7	Norcyclobenzaprine	Gastroenterology	Antiulcer
P2_H9	Pyrazinamide	Infectiology	Antibacterial
P2_H11	Trimethadione	Central Nervous System	Anticonvulsant
P2_H13	Lovastatin	Metabolism	Hypocholesterolemic
P2_H15	Nystatine	Infectiology	Antifungal
P2_H17	Budesonide	Endocrinology	Anti-inflammatory
P2_H19	Imipenem	Infectiology	Antibacterial
P2_H21	Sulfasalazine	Infectiology	Antibacterial
P2_H23	Ambrisentan	Cardiovascular	Antihypertensive
P2_J1	Aripiprazole	Central Nervous System	Antipsychotic
P2_J3	Lofexidine	Cardiovascular	Antihypertensive
P2_J5	Thiostrepton	Infectiology	Antibacterial
P2_J7	Miglitol	Endocrinology	Antidiabetic
P2_J9	Tiabendazole	Infectiology	Antifungal
P2_J11	Rifampicin	Infectiology	Antibacterial
P2_J13	Ethionamide	Infectiology	Antibacterial
P2_J15	Tenoxicam	Central Nervous System	Analgesic
P2_J17	Triflusal	Hematology	Anticoagulant
P2_J19	Mesoridazine besylate	Central Nervous System	Antipsychotic
P2_J21	Trolox	Metabolism	Anti-oxidant
P2_J23	Ethinylestradiol	Endocrinology	Contraceptive
P2_L1	Azithromycin	Infectiology	Antibacterial
P2_L3	Pirenperone	Central Nervous System	Seratonin receptor antagonist
P2_L5	Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride	Central Nervous System	Nervous system agent
P2_L7	Phenacetin	Central Nervous System	Analgesic
P2_L9	Atovaquone	Infectiology	Antimalarial
P2_L11	Methoxamine hydrochloride	Cardiovascular	Antihypotensive
P2_L13	(S)-(-)-Atenolol	Cardiovascular	Antianginal
P2_L15	Piracetam	Central Nervous System	CNS Stimulant
P2_L17	Phenindione	Hematology	Anticoagulant
P2_L19	Thiocolchicoside	Central Nervous System	Antispastic
P2_L21	Clorsulon	Infectiology	Antihelmintic
P2_L23	Ibudilast	Metabolism	Anti-inflammatory
P2_N1	Gemcitabine	Oncology	Antineoplastic
P2_N3	Ciclopirox ethanolamine	Infectiology	Antibacterial
P2_N5	Probenecid	Metabolism	Antigout
P2_N7	Betahistine mesylate	Allergology	Vasodilator
P2_N9	Tobramycin	Infectiology	Antibacterial
P2_N11	Tetramisole hydrochloride	Immunology	Antihelmintic
P2_N13	Pregnenolone	Endocrinology	Anabolic
P2_N15	Molsidomine	Cardiovascular	Antianginal
P2_N17	Chloroquine diphosphate	Metabolism	Anti-inflammatory
P2_N19	Trimetazidine dihydrochloride	Cardiovascular	Antianginal
P2_N21	Parthenolide	Metabolism	Anti-inflammatory
P2_N23	Olmesartan	Cardiovascular	Antihypertensive
P2_P1	Formoterol fumarate	Respiratory	Antiasthmatic
P2_P3	Hexetidine	Infectiology	Antifungal
P2_P5	Selegiline hydrochloride	Central Nervous System	Antiparkinsonian
P2_P7	Pentamidine isethionate	Infectiology	Antifungal
P2_P9	Tolazamide	Metabolism	Antidiabetic
P2_P11	Nifuroxazide	Infectiology	Antibacterial
P2_P13	Mirtazapine	Central Nervous System	Antidepressant
P2_P15	Dirithromycin	Infectiology	Antibacterial
P2_P17	Gliclazide	Metabolism	Anticoagulant
P2_P19	DO 897/99	Central Nervous System	Antidepressant
P2_P21	Prenylamine lactate	Cardiovascular	Antianginal
P2_P23	Rufloxacin	Infectiology	Antibacterial
P2_B2	Fleroxacin	Infectiology	Antibacterial
P2_B4	Ziprasidone Hydrochloride	Central Nervous System	Antipsychotic
P2_B6	Mevastatin	Cardiovascular	Hypocholesterolemic
P2_B8	Pyridostigmine iodide	Central Nervous System	Acetylcholine inhibitor
P2_B10	Pentobarbital	Central Nervous System	Anesthetic
P2_B12	Atropine sulfate monohydrate	Ophthalmology	Antispastic
P2_B14	Eserine hemisulfate salt	Central Nervous System	Antiglaucoma
P2_B16	Itraconazole	Infectiology	Antifungal
P2_B18	Acarbose	Endocrinology	Antidiabetic
P2_B20	Entacapone	Central Nervous System	Antiparkinsonian
P2_B22	Nicotinamide	Dermatology	Skin antinflammatory 
P2_B24	Clavulanate potassium salt	Infectiology	Antibacterial
P2_D2	Amcinonide	Metabolism	Anti-inflammatory
P2_D4	Tetracaïne hydrochloride	Neuromuscular	Local anesthetic
P2_D6	Mometasone furoate	Endocrinology	Anti-inflammatory
P2_D8	Troglitazone	Metabolism	Antidiabetic
P2_D10	Dacarbazine	Oncology	Antineoplastic
P2_D12	Tenatoprazole	Metabolism	Antiulcer
P2_D14	Acetopromazine maleate salt	Central Nervous System	Antiemetic
P2_D16	Escitalopram	Central Nervous System	Antidepressant
P2_D18	Ropinirole HCl	Central Nervous System	Antiparkinsonian
P2_D20	Lacidipine	Cardiovascular	Antihypertensive
P2_D22	Argatroban	Hematology	Anticoagulant
P2_D24	Caffeine	Central Nervous System	CNS Stimulant
P2_F2	Celecoxib	Metabolism	Anti-inflammatory
P2_F4	Reboxetine mesylate	Central Nervous System	Antidepressant
P2_F6	Camylofine chlorhydrate		Acetylcholine inhibitor
P2_F8	Papaverine hydrochloride	Cardiovascular	Antispastic
P2_F10	Yohimbine hydrochloride	Cardiovascular	Erectile dysfunction treatment
P2_F12	Voriconazole	Infectiology	Antifungal
P2_F14	Alfacalcidol	Metabolism	Antiosteoporetic
P2_F16	Cilostazol	Hematology	Anticoagulant
P2_F18	Galanthamine hydrobromide	Central Nervous System	Analgesic
P2_F20	Azelastine HCl	Immunology	Antihistaminic
P2_F22	Etretinate	Dermatology	Antipsoriatic
P2_F24	Candesartan	Cardiovascular	Antihypertensive
P2_H2	Triclosan	Infectiology	Antibacterial
P2_H4	Emedastine	Allergology	Antihistaminic
P2_H6	Etofenamate	Metabolism	Anti-inflammatory
P2_H8	Zaleplon	Central Nervous System	Hypnotic
P2_H10	Diclofenac sodium	Central Nervous System	Anti-inflammatory
P2_H12	Exemestane	Endocrinology	Antineoplastic
P2_H14	Fomepizole	Metabolism	Antidote for methanol or ethylene glycol poisoning, inhibits alcohol dehydrogenase
P2_H16	Temozolomide	Oncology	Antineoplastic
P2_H18	Xylazine	Central Nervous System	Analgesic
P2_H20	Celiprolol HCl	Cardiovascular	Antianginal
P2_H22	Zopiclone	Central Nervous System	Hypnotic
P2_H24	Enoxacin	Infectiology	Antibacterial
P2_J2	Fluocinolone acetonide	Metabolism	Anti-inflammatory
P2_J4	Tranilast	Allergology	Antiallergic
P2_J6	Tizanidine HCl	Metabolism	Muscle relaxant
P2_J8	Zafirlukast	Respiratory	Antiasthmatic
P2_J10	Butenafine Hydrochloride	Infectiology	Antifungal
P2_J12	Carbadox	Infectiology	Antibacterial
P2_J14	Rimantadine Hydrochloride	Infectiology	Antiviral
P2_J16	Eburnamonine (-)	Central Nervous System	Vasodilator
P2_J18	Oxibendazol	Metabolism	Antihelmintic
P2_J20	Ipsapirone	Central Nervous System	Antidepressant
P2_J22	Hydroxychloroquine sulfate	Metabolism	Antimalarial
P2_J24	Sparfloxacin	Infectiology	Antibacterial
P2_L2	Losartan	Cardiovascular	Antihypertensive
P2_L4	Loracarbef	Infectiology	Antibacterial
P2_L6	Fenipentol	Metabolism	Choleretic
P2_L8	Diosmin	Cardiovascular	Prolongs vasoconstriction, prolongs norepinephrin efect
P2_L10	Carbidopa	Central Nervous System	Antiparkinsonian
P2_L12	(-)-Emtricitabine	Infectiology	Antiviral
P2_L14	Demecarium bromide	Ophthalmology	Antiglaucoma
P2_L16	Quipazine dimaleate salt	Central Nervous System	Antiemetic
P2_L18	Acipimox	Metabolism	Antilipemic
P2_L20	Diflorasone Diacetate	Endocrinology	Anti-inflammatory
P2_L22	Acamprosate calcium	Central Nervous System	Alcohol dependence treatment
P2_L24	Benztropine mesylate	Central Nervous System	Antiparkinsonian
P2_N2	Racepinephrine HCl	Cardiovascular	Bronchodilator
P2_N4	Mizolastine	Allergology	Antihistamine
P2_N6	Amisulpride	Central Nervous System	Antipsychotic
P2_N8	Pyridoxine hydrochloride	Metabolism	Vitamin B6
P2_N10	Mercaptopurine	Immunology	Immunosuppressant
P2_N12	Cytarabine	Oncology	Antineoplastic
P2_N14	Racecadotril	Gastroenterology	Antidiarrheal
P2_N16	Folic acid	Metabolism	Vitamin B9
P2_N18	Benazepril HCl	Cardiovascular	Antihypertensive
P2_N20	Aniracetam	Central Nervous System	Anti-Alzheimer
P2_N22	Dimethisoquin hydrochloride	Neuromuscular	Antipruritic
P2_N24	Montelukast	Respiratory	Antiasthmatic
P2_P2	Pravastatin	Metabolism	Antilipemic
P2_P4	Alendronate sodium	Metabolism	Antiosteoporetic
P2_P6	Dipivefrin hydrochloride	Ophthalmology	Antiglaucoma
P2_P8	Thiorphan	Gastroenterology	Antidiarrheal
P2_P10	Tomoxetine hydrochloride	Central Nervous System	ADHD treatment
P2_P12	Aceclidine Hydrochloride	Ophthalmology	Antiglaucoma
P2_P14	Penciclovir	Infectiology	Antiviral
P2_P16	Levetiracetam	Central Nervous System	Anticonvulsant
P2_P18	Dexfenfluramine hydrochloride	Central Nervous System	Anorectic
P2_P20	Etoricoxib	Central Nervous System	Analgesic
P2_P22	Sertindole	Central Nervous System	Antipsychotic
P2_P24	Rosiglitazone Hydrochloride	Metabolism	Antidiabetic
P3_A1	Valproic acid	Central Nervous System	Anticonvulsant
P3_A3	Sulmazole	Cardiovascular	Cardiotonic
P3_A5	Gefitinib	Oncology	Antineoplastic
P3_A7	Flunisolide	Endocrinology	Anti-inflammatory
P3_A9	N-Acetyl-DL-homocysteine Thiolactone	Respiratory	Expectorant
P3_A11	Flurandrenolide	Dermatology	Anti-inflammatory
P3_A13	Oxiconazole Nitrate	Infectiology	Antifungal
P3_A15	Rebamipide	Metabolism	Antiulcer
P3_A17	Nilvadipine	Cardiovascular	Antianginal
P3_A19	Etanidazole	Oncology	Antineoplastic
P3_A21	Pinaverium bromide	Neuromuscular	Antispastic
P3_A23	Mepivacaine hydrochloride	Neuromuscular	Local anesthetic
P3_C1	Carvedilol	Cardiovascular	Antihypertensive
P3_C3	Glimepiride	Endocrinology	Antidiabetic
P3_C5	Picrotoxinin	Central Nervous System	Analeptic
P3_C7	Mepenzolate bromide	Neuromuscular	Antispastic
P3_C9	Benfotiamine	Metabolism	Metabolizes into Vitamin B1
P3_C11	Halcinonide	Dermatology	Anti-inflammatory
P3_C13	Lanatoside C	Cardiovascular	Cardiotonic
P3_C15	Benzamil hydrochloride	Metabolism	Antihypertensive
P3_C17	Suxibuzone	Central Nervous System	Analgesic
P3_C19	6-Furfurylaminopurine	Dermatology	Skin care agent
P3_C21	Avermectin B1a	Infectiology	Antihelmintic
P3_C23	Methenamine	Infectiology	Antibacterial
P3_E1	Fludarabine	Oncology	Antineoplastic
P3_E3	Pranlukast	Respiratory	Antiasthmatic
P3_E5	Penicillamine	Central Nervous System	Analgesic
P3_E7	Zileuton	Respiratory	Antiasthmatic
P3_E9	Loratadine	Allergology	Antihistaminic
P3_E11	Tetraethylenepentamine pentahydrochloride	Metabolism	Antilipemic
P3_E13	Nisoldipine	Cardiovascular	Antianginal
P3_E15	Acefylline	Central Nervous System	CNS Stimulant
P3_E17	Acitretin	Dermatology	Antipsoriatic
P3_E19	Zonisamide	Central Nervous System	Anticonvulsant
P3_E21	Irsogladine maleate	Metabolism	Antiulcer
P3_E23	Cladribine	Oncology	Antineoplastic
P3_G1	Olopatadine hydrochloride	Allergology	Antihistaminic
P3_G3	Dydrogesterone	Endocrinology	Progestogen
P3_G5	Sumatriptan succinate	Central Nervous System	Antimigraine
P3_G7	Opipramol dihydrochloride	Central Nervous System	Antidepressant
P3_G9	Nalidixic acid sodium salt	Infectiology	Antibacterial
P3_G11	Oxacillin sodium	Infectiology	Antibacterial
P3_G13	Beta-Escin	Metabolism	Antineoplastic
P3_G15	Thiamine hydrochloride	Immunology	Immunostimulant
P3_G17	Tazobactam	Infectiology	Antibacterial
P3_G19	Ibandronate sodium 	Metabolism	Antiosteoporetic
P3_G21	Warfarin	Hematology	Anticoagulant
P3_G23	Granisetron	Endocrinology	Antiemetic
P3_I1	Desloratadine	Allergology	Antihistaminic
P3_I3	Pranoprofen	Metabolism	Anti-inflammatory
P3_I5	Secnidazole	Infectiology	Antiamebic
P3_I7	Pempidine tartrate	Cardiovascular	Antihypotensive
P3_I9	Clodronate	Metabolism	Antiosteoporosis
P3_I11	Ibutilide fumarate	Cardiovascular	Antiarrhythmic
P3_I13	Thimerosal	Infectiology	Antiseptic
P3_I15	Tramadol hydrochloride	Central Nervous System	Analgesic
P3_I17	Estropipate	Endocrinology	Estrogen replacement
P3_I19	Butylscopolammonium (n-) bromide	Central Nervous System	Antispastic
P3_I21	Irinotecan hydrochloride trihydrate	Oncology	Antineoplastic
P3_I23	Clarithromycin	Infectiology	Antibacterial
P3_K1	Vecuronium bromide	Metabolism	Muscle relaxant
P3_K3	Tylosin	Infectiology	Antibacterial
P3_K5	Citalopram Hydrobromide	Central Nervous System	Antidepressant
P3_K7	Promazine hydrochloride	Central Nervous System	Antipsychotic
P3_K9	Sulfamerazine	Infectiology	Antibacterial
P3_K11	Venlafaxine	Central Nervous System	Antidepressant
P3_K13	Ethotoin	Central Nervous System	Anticonvulsant
P3_K15	3-alpha-Hydroxy-5-beta-androstan-17-one	Endocrinology	Testosterone replacement
P3_K17	Tetrahydrozoline hydrochloride	Cardiovascular	Nasal Decongestant
P3_K19	Hexestrol	Endocrinology	Antineoplastic
P3_K21	Cefmetazole sodium salt	Infectiology	Antibacterial
P3_K23	Telmisartan	Cardiovascular	Antihypertensive
P3_M1	Docetaxel	Oncology	Antineoplastic
P3_M3	Trihexyphenidyl-D,L Hydrochloride	Central Nervous System	Antiparkinsonian
P3_M5	Succinylsulfathiazole	Infectiology	Antibacterial
P3_M7	Famprofazone	Central Nervous System	Analgesic
P3_M9	Bromopride	Central Nervous System	Antiemetic
P3_M11	Methyl benzethonium chloride	Infectiology	Antibacterial
P3_M13	Chlorcyclizine hydrochloride	Allergology	Antiemetic
P3_M15	Diphenylpyraline hydrochloride	Allergology	Antihistaminic
P3_M17	Benzethonium chloride	Infectiology	Antibacterial
P3_M19	Trioxsalen	Dermatology	Treatment of skin diseases, causes photosensitivity
P3_M21	Doxofylline	Respiratory	Bronchodilator
P3_M23	Cilnidipine	Cardiovascular	Antihypertensive
P3_O1	Rivastigmine	Central Nervous System	Antidemenitia
P3_O3	Sulfabenzamide	Infectiology	Antibacterial
P3_O5	Benzocaine	Neuromuscular	Local anesthetic
P3_O7	Dipyrone	Central Nervous System	Analgesic
P3_O9	Isosorbide dinitrate	Cardiovascular	Antianginal
P3_O11	Sulfachloropyridazine	Infectiology	Antibacterial
P3_O13	Pramoxine hydrochloride	Neuromuscular	Local anesthetic
P3_O15	Finasteride	Endocrinology	Anti-alopecia
P3_O17	Fluorometholone	Endocrinology	Anti-inflammatory
P3_O19	Cephalothin sodium salt	Infectiology	Antibacterial
P3_O21	Cefuroxime sodium salt	Infectiology	Antibacterial
P3_O23	Sildenafil	Cardiovascular	Antihypertensive
P3_A2	Rifaximin	Infectiology	Antibacterial
P3_A4	Althiazide	Metabolism	Antihypertensive
P3_A6	Isopyrin hydrochloride	Central Nervous System	Analgesic
P3_A8	Phenethicillin potassium salt	Infectiology	Antibacterial
P3_A10	Sulfamethoxypyridazine	Infectiology	Antibacterial
P3_A12	Deferoxamine mesylate	Diagnostic	Chelating
P3_A14	Mephentermine hemisulfate	Cardiovascular	Antihypotensive
P3_A16	Liranaftate	Infectiology	Antifungal
P3_A18	Sulfadimethoxine	Infectiology	Antibacterial
P3_A20	Sulfanilamide	Infectiology	Antibacterial
P3_A22	Balsalazide Sodium	Gastroenterology	Anti-inflammatory
P3_A24	Estradiol Valerate	Endocrinology	Contraceptive
P3_C2	Phentermine hydrochloride	Central Nervous System	TAAR inhibitor, suppresses appetite
P3_C4	Sulfaquinoxaline sodium salt	Infectiology	Antibacterial
P3_C6	Streptozotocin	Oncology	Antineoplastic
P3_C8	Metoprolol-(+,-) (+)-tartrate salt	Cardiovascular	Antiarrhythmic
P3_C10	Flumethasone	Metabolism	Anti-inflammatory
P3_C12	Flecainide acetate	Cardiovascular	Antiarrhythmic
P3_C14	Cefazolin sodium salt	Metabolism	Antibacterial
P3_C16	Atractyloside potassium salt	Oncology	Antineoplastic
P3_C18	Folinic acid calcium salt	Hematology	Antianemic
P3_C20	Levonordefrin	Cardiovascular	Vasoconstrictor
P3_C22	Ebselen	Metabolism	Anti-inflammatory
P3_C24	Diclazuril	Metabolism	Antiprotozoal
P3_E2	Vardenafil	Cardiovascular	Erectile dysfunction treatment
P3_E4	Nadide	Metabolism	NAD Coenzyme
P3_E6	Sulfamethizole	Metabolism	Antibacterial
P3_E8	Medrysone	Metabolism	Anti-inflammatory
P3_E10	Flunixin meglumine	Central Nervous System	Analgesic
P3_E12	Spiramycin	Metabolism	Antibacterial
P3_E14	Glycopyrrolate	Gastroenterology	Antispastic
P3_E16	Aprepitant	Metabolism	Antiemetic
P3_E18	Monensin sodium salt	Infectiology	Antibacterial
P3_E20	Isoetharine mesylate salt	Respiratory	Bronchodilator
P3_E22	Mevalonic-D, L acid lactone	Cardiovascular	Antilipemic
P3_E24	Fluconazole	Metabolism	Antifungal
P3_G2	Anthralin	Dermatology	Antipsoriatic
P3_G4	Terazosin hydrochloride	Cardiovascular	Antihypertensive
P3_G6	Phenazopyridine hydrochloride	Central Nervous System	Analgesic
P3_G8	Demeclocycline hydrochloride	Metabolism	Antibacterial
P3_G10	Fenoprofen calcium salt dihydrate	Metabolism	Anti-inflammatory
P3_G12	Piperacillin sodium salt	Metabolism	Antibacterial
P3_G14	Diethylstilbestrol	Endocrinology	Synthetic, nonsteroidal Estrogen
P3_G16	Chlorotrianisene	Endocrinology	Antineoplastic
